,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_per_Year,Log_MonthlyIncome,Log_DailyRate,Norm_Age,Norm_MonthlyRate,Poly_0,Poly_1,Poly_2,Poly_3,Poly_4
0,41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,10273.714285714286,8.69851424787661,7.005789019253503,0.5476190476190477,0.6980525998795423,3.0,11.0,9.0,33.0,121.0
1,49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,5596.363636363636,8.543055850941965,5.634789603169249,0.7380952380952379,0.9160008030515961,4.0,23.0,16.0,92.0,529.0
2,37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,25080.0,7.645397699428633,7.2254814727822945,0.4523809523809524,0.012126079100582207,3.0,15.0,9.0,45.0,225.0
3,33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,3878.6666666666665,7.975908360165538,7.239214973779806,0.35714285714285715,0.845814093555511,3.0,11.0,9.0,33.0,121.0
4,27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,13872.0,8.15162164696975,6.3835066348840055,0.21428571428571425,0.5837382051796828,3.0,12.0,9.0,36.0,144.0
5,32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,4602.0,8.029107054619736,6.913737350659685,0.3333333333333333,0.3922907046777755,3.0,13.0,9.0,39.0,169.0
6,59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,16020.0,7.890208213109961,7.1891677384203225,0.976190476190476,0.31600080305159606,4.0,20.0,16.0,80.0,400.0
7,30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,16158.0,7.898782356970309,7.214504414151143,0.28571428571428564,0.45135514956835976,4.0,22.0,16.0,88.0,484.0
8,38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,11431.2,9.161885151706779,5.37989735354046,0.4761904761904761,0.2687412166231681,4.0,21.0,16.0,84.0,441.0
9,36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,7855.5,8.563695025067657,7.170119543449628,0.42857142857142855,0.5815298132905039,3.0,13.0,9.0,39.0,169.0
10,35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,4852.0,7.794411205726601,6.697034247666484,0.4047619047619047,0.5775948604697851,3.0,13.0,9.0,39.0,169.0
11,29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,5031.6,8.341410211461865,5.0369526024136295,0.2619047619047619,0.425135514956836,3.0,12.0,9.0,36.0,144.0
12,31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,5822.0,7.976595409316577,6.508769136971682,0.3095238095238095,0.5250351335073279,3.0,17.0,9.0,51.0,289.0
13,34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,10644.0,7.8868329989550565,7.205635176410364,0.380952380952381,0.2675767918088737,3.0,11.0,9.0,33.0,121.0
14,28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,4867.2,7.615298339825815,4.6443908991413725,0.23809523809523808,0.4357759486046978,3.0,14.0,9.0,42.0,196.0
15,29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,10887.272727272728,9.208438564686587,7.237059026124737,0.2619047619047619,0.32527604898614737,3.0,11.0,9.0,33.0,121.0
16,32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,5653.714285714285,8.101374671228582,5.814130531825066,0.3333333333333333,0.5203372816703473,3.0,12.0,9.0,36.0,144.0
17,22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,17610.0,7.984803389734406,7.024649030453636,0.09523809523809518,0.20999799237100983,3.0,13.0,9.0,39.0,169.0
18,53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,7120.153846153846,9.643939319328119,7.106606137727303,0.8333333333333333,0.8001204577394098,3.0,16.0,9.0,48.0,256.0
19,38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,11832.0,8.280204233279974,5.918893854273146,0.4761904761904761,0.08881750652479423,3.0,11.0,9.0,33.0,121.0
20,24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,9626.4,8.297045149081827,6.513230110912307,0.14285714285714285,0.246456534832363,3.0,18.0,9.0,54.0,324.0
21,36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,6814.0,8.133880887949207,7.105786129481271,0.42857142857142855,0.19642642039751054,4.0,23.0,16.0,92.0,529.0
22,34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,11071.384615384615,9.392245175273795,6.040254711277414,0.380952380952381,0.770889379642642,3.0,11.0,9.0,33.0,121.0
23,21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,14784.0,7.117205503164344,5.971261839790462,0.07142857142857145,0.6901023890784983,3.0,14.0,9.0,42.0,196.0
24,34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,7104.0,7.993282328101591,6.551080335043404,0.380952380952381,0.6026099176872114,3.0,11.0,9.0,33.0,121.0
25,53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,15275.2,9.857181799659617,7.1569563646156364,0.8333333333333333,0.3469584420799037,3.0,11.0,9.0,33.0,121.0
26,32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,4275.272727272727,8.273846932784508,7.026426808699636,0.3333333333333333,0.10387472395101385,4.0,22.0,16.0,88.0,484.0
27,42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,8190.0,8.828494129466652,6.539585955617669,0.5714285714285714,0.7660710700662517,3.0,11.0,9.0,33.0,121.0
28,44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,5346.782608695652,9.234935418831563,6.169610732491456,0.6190476190476188,0.0,3.0,14.0,9.0,42.0,196.0
29,46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,75788.0,9.849453664043642,6.559615237493242,0.6666666666666665,0.8322826741618149,3.0,12.0,9.0,36.0,144.0
30,33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,14976.0,7.822845290279774,6.829793737512425,0.35714285714285715,0.18373820517968278,3.0,11.0,9.0,33.0,121.0
31,44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,15516.0,8.774312958285378,7.286191714702382,0.6190476190476188,0.683677976309978,3.0,13.0,9.0,39.0,169.0
32,30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,2406.5454545454545,7.699389406256737,4.836281906951478,0.28571428571428564,0.5630596265810078,3.0,13.0,9.0,39.0,169.0
33,39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,12516.0,7.643482907077201,6.79794041297493,0.49999999999999994,0.049829351535836175,3.0,14.0,9.0,42.0,196.0
34,24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,9172.0,7.738052297689316,6.70196036600254,0.14285714285714285,0.03718128889781168,3.0,16.0,9.0,48.0,256.0
35,43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,5290.0,7.880804344674901,7.149916836132109,0.5952380952380951,0.796185504918691,3.0,12.0,9.0,36.0,144.0
36,50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,8049.0,7.895063498091573,6.76849321164863,0.7619047619047619,0.06890182694238103,3.0,14.0,9.0,42.0,196.0
37,35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,8056.0,7.608374474380783,6.792344427470809,0.4047619047619047,0.30487853844609514,3.0,13.0,9.0,39.0,169.0
38,36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,20514.0,8.13739583005665,6.748759547491679,0.42857142857142855,0.4407950210801044,3.0,14.0,9.0,42.0,196.0
39,33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,10752.0,8.589885876809678,7.040536390215956,0.35714285714285715,0.04412768520377433,3.0,19.0,9.0,57.0,361.0
40,35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,11706.0,7.5766097669730375,6.142037405587356,0.4047619047619047,0.35398514354547284,3.0,12.0,9.0,36.0,144.0
41,27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,14046.0,7.758760544157663,7.123672785204607,0.21428571428571425,0.7075286087131099,3.0,13.0,9.0,39.0,169.0
42,26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,13758.0,7.738052297689316,7.213768308118642,0.19047619047619052,0.33985143545472796,3.0,12.0,9.0,36.0,144.0
43,27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,10471.2,9.074176947163311,6.902742737158593,0.21428571428571425,0.035374422806665334,3.0,15.0,9.0,45.0,225.0
44,30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,3702.4615384615386,8.297045149081827,6.582025138892826,0.28571428571428564,0.3488054607508533,4.0,23.0,16.0,92.0,529.0
45,41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,10197.391304347826,9.880525940898782,7.215975002651466,0.5476190476190477,0.569604497088938,3.0,12.0,9.0,36.0,144.0
46,34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,5481.6,8.427049641563272,6.97166860472579,0.380952380952381,0.31881148363782374,4.0,20.0,16.0,80.0,400.0
47,37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,18132.0,8.014004994779459,6.013715156042802,0.4523809523809524,0.32656093153985144,4.0,21.0,16.0,84.0,441.0
