,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary,Overtime_Hours,Log_avg_hours,Norm_satisfaction,Norm_evaluation,Poly_0,Poly_1,Poly_2,Poly_3,Poly_4,job_satisfaction,salary_multiplier,years_since_promotion
0,0.38,0.53,2.0,157.0,3.0,0.0,1.0,0.0,sales,low,117.0,5.062595033026967,0.31868131868131866,0.265625,0.38,0.53,0.1444,0.20140000000000002,0.28090000000000004,0.20140000000000002,,3.0
1,0.8,0.86,5.0,262.0,6.0,0.0,1.0,0.0,sales,medium,162.0,5.572154032177765,0.7802197802197802,0.78125,0.8,0.86,0.6400000000000001,0.6880000000000001,0.7395999999999999,0.6880000000000001,,6.0
2,0.11,0.88,7.0,272.0,4.0,0.0,1.0,0.0,sales,medium,132.0,5.60947179518496,0.021978021978021983,0.8125,0.11,0.88,0.0121,0.0968,0.7744,0.0968,,4.0
3,0.72,0.87,5.0,223.0,5.0,0.0,1.0,0.0,sales,low,123.0,5.4116460518550396,0.6923076923076922,0.796875,0.72,0.87,0.5184,0.6264,0.7569,0.6264,,5.0
4,0.37,0.52,2.0,159.0,3.0,0.0,1.0,0.0,sales,low,119.0,5.075173815233827,0.30769230769230765,0.25,0.37,0.52,0.1369,0.19240000000000002,0.27040000000000003,0.19240000000000002,,3.0
5,0.41,0.5,2.0,153.0,3.0,0.0,1.0,0.0,sales,low,113.0,5.0369526024136295,0.35164835164835156,0.21875,0.41,0.5,0.16809999999999997,0.205,0.25,0.205,,3.0
6,0.1,0.77,6.0,247.0,4.0,0.0,1.0,0.0,sales,low,127.0,5.5134287461649825,0.010989010989011005,0.640625,0.1,0.77,0.010000000000000002,0.07700000000000001,0.5929,0.07700000000000001,,4.0
7,0.92,0.85,5.0,259.0,5.0,0.0,1.0,0.0,sales,low,159.0,5.560681631015528,0.9120879120879121,0.765625,0.92,0.85,0.8464,0.782,0.7224999999999999,0.782,,5.0
8,0.89,1.0,5.0,224.0,5.0,0.0,1.0,0.0,sales,low,124.0,5.41610040220442,0.879120879120879,1.0,0.89,1.0,0.7921,0.89,1.0,0.89,,5.0
9,0.42,0.53,2.0,142.0,3.0,0.0,1.0,0.0,sales,low,102.0,4.962844630259907,0.36263736263736257,0.265625,0.42,0.53,0.17639999999999997,0.2226,0.28090000000000004,0.2226,,3.0
10,0.45,0.54,2.0,135.0,3.0,0.0,1.0,0.0,sales,low,95.0,4.912654885736052,0.3956043956043956,0.28125,0.45,0.54,0.2025,0.24300000000000002,0.2916,0.24300000000000002,,3.0
11,0.11,0.81,6.0,305.0,4.0,0.0,1.0,0.0,sales,low,185.0,5.723585101952381,0.021978021978021983,0.703125,0.11,0.81,0.0121,0.08910000000000001,0.6561000000000001,0.08910000000000001,,4.0
12,0.84,0.92,4.0,234.0,5.0,0.0,1.0,0.0,sales,low,154.0,5.459585514144159,0.824175824175824,0.875,0.84,0.92,0.7055999999999999,0.7728,0.8464,0.7728,,5.0
13,0.41,0.55,2.0,148.0,3.0,0.0,1.0,0.0,sales,low,108.0,5.003946305945459,0.35164835164835156,0.2968750000000001,0.41,0.55,0.16809999999999997,0.2255,0.30250000000000005,0.2255,,3.0
14,0.36,0.56,2.0,137.0,3.0,0.0,1.0,0.0,sales,low,97.0,4.927253685157205,0.29670329670329665,0.3125000000000001,0.36,0.56,0.1296,0.2016,0.31360000000000005,0.2016,,3.0
15,0.38,0.54,2.0,143.0,3.0,0.0,1.0,0.0,sales,low,103.0,4.969813299576001,0.31868131868131866,0.28125,0.38,0.54,0.1444,0.20520000000000002,0.2916,0.20520000000000002,,3.0
16,0.45,0.47,2.0,160.0,3.0,0.0,1.0,0.0,sales,low,120.0,5.081404364984463,0.3956043956043956,0.171875,0.45,0.47,0.2025,0.2115,0.22089999999999999,0.2115,,3.0
17,0.78,0.99,4.0,255.0,6.0,0.0,1.0,0.0,sales,low,175.0,5.545177444479562,0.7582417582417582,0.984375,0.78,0.99,0.6084,0.7722,0.9801,0.7722,,6.0
18,0.45,0.51,2.0,160.0,3.0,1.0,1.0,1.0,sales,low,120.0,5.081404364984463,0.3956043956043956,0.234375,0.45,0.51,0.2025,0.2295,0.2601,0.2295,,2.0
